id,prompt,classification
76,"What does URL stand for? (variation 2)",light
77,"What is the capital of France? (variation 7)",light
78,"Explain photosynthesis in one sentence (variation 4)",light
79,"Develop a full project management plan with Gantt charts, resource allocation, and risk analysis (variation 10)",heavy
80,"Create a comprehensive cybersecurity audit report with vulnerability assessments (variation 2)",heavy
81,"Create a complex financial model for mergers and acquisitions valuation (variation 13)",heavy
82,"Define 'machine learning' briefly (variation 4)",light
83,"What is the smallest prime number? (variation 4)",light
84,"Build a recommendation system using collaborative filtering on user behavior data (variation 5)",heavy
85,"Design a complete database schema for an e-commerce platform with normalization (variation 8)",heavy
86,"Name three primary colors (variation 5)",light
87,"Spell 'accommodate' (variation 13)",light
88,"Name the four seasons (variation 9)",light
89,"How many hours are in a day? (variation 8)",light
90,"What is the boiling point of water? (variation 12)",light
91,"Spell 'accommodate' (variation 6)",light
92,"What is 15% of 200? (variation 6)",light
93,"Analyze a large dataset of customer transactions and provide actionable insights with visualizations (variation 8)",heavy
94,"Name a programming language (variation 5)",light
95,"Create a detailed implementation plan for blockchain technology in supply chain (variation 2)",heavy
96,"Build a recommendation engine using deep learning on large-scale user data (variation 7)",heavy
97,"Convert 100 degrees Fahrenheit to Celsius (variation 7)",light
98,"How many sides does a hexagon have? (variation 8)",light
99,"Generate a comprehensive risk assessment for a major construction project (variation 7)",heavy
100,"Create an extensive troubleshooting guide for a complex enterprise software system",heavy
101,"What does PDF stand for? (variation 4)",light
102,"Generate a comprehensive legal contract with all clauses, terms, and conditions (variation 4)",heavy
103,"Name a social media platform (variation 3)",light
104,"Define 'database' in simple terms (variation 4)",light
105,"What year did World War II end? (variation 13)",light
106,"Create a comprehensive curriculum for a 6-month coding bootcamp with daily lesson plans (variation 11)",heavy
107,"Name a renewable energy source (variation 12)",light
108,"Write a thorough code review of a large codebase with refactoring suggestions (variation 9)",heavy
109,"Design a distributed system architecture for handling millions of concurrent users (variation 6)",heavy
110,"Create a full UI/UX design system with components, patterns, and design tokens (variation 3)",heavy
111,"Name the largest planet in our solar system",light
112,"Define 'database' in simple terms (variation 10)",light
113,"What does URL stand for? (variation 11)",light
114,"What is the capital of Japan? (variation 11)",light
115,"Develop a complex simulation model for epidemic spread across populations (variation 4)",heavy
116,"Who wrote Romeo and Juliet? (variation 11)",light
117,"What is 1000 divided by 4? (variation 11)",light
118,"What does RAM stand for? (variation 7)",light
119,"Build a complex algorithm to optimize supply chain logistics across multiple warehouses (variation 2)",heavy
120,"Analyze a large dataset of customer transactions and provide actionable insights with visualizations (variation 13)",heavy
121,"Name a social media platform (variation 8)",light
122,"Name a web browser (variation 7)",light
123,"Create a detailed business plan for a tech startup including market analysis, financial projections, and competitor research (variation 5)",heavy
124,"Develop a sophisticated fraud detection system using anomaly detection algorithms",heavy
125,"Develop a complete machine learning pipeline with data preprocessing, model training, and evaluation (variation 13)",heavy
126,"What is the boiling point of water? (variation 2)",light
127,"Design an enterprise-level microservices architecture with deployment strategies (variation 2)",heavy
128,"What year did World War II end? (variation 3)",light
129,"Generate a comprehensive risk assessment for a major construction project (variation 3)",heavy
130,"How many sides does a hexagon have?",light
131,"Generate a complete novel outline with character development, plot arcs, and world-building details (variation 6)",heavy
132,"Generate a comprehensive employee training program with assessments and certifications (variation 12)",heavy
133,"What is the freezing point of water in Celsius? (variation 12)",light
134,"Write a detailed technical specification for a large-scale software project (variation 7)",heavy
135,"What color do you get mixing blue and yellow? (variation 4)",light
136,"Build a recommendation system using collaborative filtering on user behavior data (variation 7)",heavy
137,"Write a detailed technical specification for a large-scale software project (variation 12)",heavy
138,"Build a complex algorithm to optimize supply chain logistics across multiple warehouses (variation 13)",heavy
139,"Develop a complex simulation model for epidemic spread across populations (variation 9)",heavy
140,"Create a detailed business plan for a tech startup including market analysis, financial projections, and competitor research (variation 7)",heavy
141,"Design a comprehensive data governance framework with policies and procedures (variation 5)",heavy
142,"What does AI stand for?",light
143,"How many months have 31 days? (variation 2)",light
144,"What does URL stand for? (variation 8)",light
145,"What is 25 squared? (variation 11)",light
146,"Develop a complex simulation model for epidemic spread across populations (variation 13)",heavy
147,"Create a detailed business plan for a tech startup including market analysis, financial projections, and competitor research",heavy
148,"Generate a detailed feasibility study for a large infrastructure project",heavy
149,"Write an extensive technical documentation for a software system with architecture diagrams (variation 8)",heavy
150,"Develop a sophisticated fraud detection system using anomaly detection algorithms (variation 5)",heavy
151,"Create a detailed implementation plan for blockchain technology in supply chain (variation 12)",heavy
152,"Explain photosynthesis in one sentence (variation 2)",light
153,"Create a complex financial model for mergers and acquisitions valuation (variation 10)",heavy
154,"Design a distributed system architecture for handling millions of concurrent users (variation 5)",heavy
155,"Name a major ocean (variation 5)",light
156,"Create a complete game design document including mechanics, storyline, and level designs",heavy
157,"What is the plural of 'mouse' (computer)? (variation 2)",light
158,"Generate a comprehensive legal contract with all clauses, terms, and conditions (variation 10)",heavy
159,"Name the four seasons (variation 5)",light
160,"Create a detailed business plan for a tech startup including market analysis, financial projections, and competitor research (variation 11)",heavy
161,"What is the freezing point of water in Celsius?",light
162,"Design a complete database schema for an e-commerce platform with normalization (variation 7)",heavy
163,"How many months have 31 days? (variation 12)",light
164,"Name a web browser",light
165,"Define the word 'algorithm' (variation 12)",light
166,"Convert 100 degrees Fahrenheit to Celsius (variation 5)",light
167,"What is 25 squared?",light
168,"Design a neural network architecture for image classification with hyperparameter tuning (variation 6)",heavy
169,"Create a complete digital transformation roadmap for an enterprise organization (variation 2)",heavy
170,"What does AI stand for? (variation 2)",light
171,"What does PDF stand for? (variation 5)",light
172,"Define 'cloud computing' briefly (variation 5)",light
173,"Name the four seasons (variation 8)",light
174,"How many months have 31 days?",light
175,"What is the capital of France? (variation 4)",light
176,"What is the smallest prime number? (variation 8)",light
177,"Explain photosynthesis in one sentence (variation 5)",light
178,"Build a natural language processing model for sentiment analysis on social media data (variation 2)",heavy
179,"Define 'database' in simple terms (variation 13)",light
180,"Write a detailed technical specification for a large-scale software project (variation 6)",heavy
181,"Define 'variable' in programming (variation 9)",light
182,"Name a programming paradigm (variation 10)",light
183,"Create a comprehensive cybersecurity audit report with vulnerability assessments",heavy
184,"Create a comprehensive curriculum for a 6-month coding bootcamp with daily lesson plans",heavy
185,"What is the plural of 'mouse' (computer)? (variation 9)",light
186,"How many degrees in a right angle? (variation 8)",light
187,"What is 100 minus 37? (variation 7)",light
188,"Name a type of loop in programming (variation 5)",light
189,"What is the square root of 144? (variation 10)",light
190,"Develop a complex simulation model for epidemic spread across populations",heavy
191,"What is the square root of 144? (variation 12)",light
192,"What does URL stand for?",light
193,"What is the chemical symbol for gold? (variation 12)",light
194,"What is the speed of light? (variation 7)",light
195,"What is 7 multiplied by 8? (variation 8)",light
196,"What does HTTP stand for? (variation 2)",light
197,"Develop a complex simulation model for epidemic spread across populations (variation 2)",heavy
198,"Write a complete screenplay for a feature film with dialogue and scene descriptions (variation 3)",heavy
199,"What does URL stand for? (variation 12)",light
200,"How many hours are in a day? (variation 6)",light
201,"Define 'cloud computing' briefly (variation 3)",light
202,"Define the word 'algorithm' (variation 3)",light
203,"How many months have 31 days? (variation 3)",light
204,"Develop a sophisticated fraud detection system using anomaly detection algorithms (variation 4)",heavy
205,"What is 3/4 as a decimal?",light
206,"Design a complete IoT system architecture with edge computing and cloud integration (variation 9)",heavy
207,"Perform a deep financial analysis of a company's last 5 years with ratio analysis and forecasting (variation 8)",heavy
208,"What color do you get mixing blue and yellow? (variation 10)",light
209,"Build a speech recognition system with accent adaptation and noise reduction (variation 13)",heavy
210,"Create a full UI/UX design system with components, patterns, and design tokens (variation 6)",heavy
211,"Generate a comprehensive legal contract with all clauses, terms, and conditions (variation 12)",heavy
212,"Build a recommendation engine using deep learning on large-scale user data (variation 12)",heavy
213,"Design a complete disaster recovery plan with backup strategies and failover procedures (variation 4)",heavy
214,"Generate a complete novel outline with character development, plot arcs, and world-building details (variation 13)",heavy
215,"How many months have 31 days? (variation 13)",light
216,"What is 15% of 200? (variation 5)",light
217,"What is 25 squared? (variation 8)",light
218,"Develop a full project management plan with Gantt charts, resource allocation, and risk analysis (variation 12)",heavy
219,"Build a complex algorithm to optimize supply chain logistics across multiple warehouses (variation 10)",heavy
220,"Develop a complex optimization model for portfolio management with constraints (variation 6)",heavy
221,"What does HTTP stand for? (variation 4)",light
222,"How many hours are in a day? (variation 3)",light
223,"Build a recommendation system using collaborative filtering on user behavior data (variation 13)",heavy
224,"Generate a comprehensive employee training program with assessments and certifications (variation 8)",heavy
225,"Analyze a large dataset of customer transactions and provide actionable insights with visualizations (variation 4)",heavy
226,"Analyze a large dataset of customer transactions and provide actionable insights with visualizations (variation 12)",heavy
227,"What does AI stand for? (variation 12)",light
228,"Spell 'accommodate' (variation 3)",light
229,"What is the chemical symbol for gold? (variation 8)",light
230,"Generate a complete novel outline with character development, plot arcs, and world-building details (variation 9)",heavy
231,"Create a detailed implementation plan for blockchain technology in supply chain (variation 9)",heavy
232,"What is the atomic number of carbon? (variation 8)",light
233,"Name a renewable energy source (variation 3)",light
234,"What color do you get mixing blue and yellow? (variation 3)",light
235,"Name a web browser (variation 5)",light
236,"Name a social media platform (variation 13)",light
237,"Define the word 'algorithm' (variation 5)",light
238,"Build a natural language processing model for sentiment analysis on social media data (variation 12)",heavy
239,"Design a neural network architecture for image classification with hyperparameter tuning (variation 7)",heavy
240,"Design a complete IoT system architecture with edge computing and cloud integration (variation 3)",heavy
241,"Design a neural network architecture for image classification with hyperparameter tuning (variation 9)",heavy
242,"Generate a comprehensive risk assessment for a major construction project (variation 10)",heavy
243,"Design and implement a full-stack web application with authentication, database integration, and API endpoints (variation 12)",heavy
244,"Build a computer vision system for object detection and tracking in videos (variation 5)",heavy
245,"What year did World War II end? (variation 10)",light
246,"Create a complete game design document including mechanics, storyline, and level designs (variation 12)",heavy
247,"Define 'machine learning' briefly (variation 5)",light
248,"Build a speech recognition system with accent adaptation and noise reduction (variation 5)",heavy
249,"Design a complete IoT system architecture with edge computing and cloud integration (variation 13)",heavy
250,"Design a complete disaster recovery plan with backup strategies and failover procedures",heavy
251,"How many months have 31 days? (variation 4)",light
252,"Design an enterprise-level microservices architecture with deployment strategies",heavy
253,"Name a programming language (variation 9)",light
254,"How many minutes in 2 hours? (variation 6)",light
255,"Create a complex financial model for mergers and acquisitions valuation (variation 5)",heavy
256,"Write an extensive comparative market analysis across multiple geographic regions (variation 10)",heavy
257,"Build a recommendation system using collaborative filtering on user behavior data (variation 2)",heavy
258,"Generate a comprehensive legal contract with all clauses, terms, and conditions (variation 7)",heavy
259,"What is the atomic number of carbon? (variation 7)",light
260,"Create a detailed business plan for a tech startup including market analysis, financial projections, and competitor research (variation 9)",heavy
261,"Generate a detailed feasibility study for a large infrastructure project (variation 12)",heavy
262,"Name a major ocean (variation 12)",light
263,"What is the boiling point of water? (variation 13)",light
264,"Write a complete screenplay for a feature film with dialogue and scene descriptions (variation 7)",heavy
265,"What is the speed of light? (variation 3)",light
266,"Build a complex algorithm to optimize supply chain logistics across multiple warehouses (variation 4)",heavy
267,"Design a distributed system architecture for handling millions of concurrent users (variation 7)",heavy
268,"Name the four seasons (variation 6)",light
269,"What is 25 squared? (variation 4)",light
270,"What is 7 multiplied by 8? (variation 10)",light
271,"Build a recommendation engine using deep learning on large-scale user data (variation 10)",heavy
272,"Create a detailed business plan for a tech startup including market analysis, financial projections, and competitor research (variation 2)",heavy
273,"Analyze a large dataset of customer transactions and provide actionable insights with visualizations (variation 11)",heavy
274,"Build a computer vision system for object detection and tracking in videos (variation 4)",heavy
275,"Create a complete digital transformation roadmap for an enterprise organization (variation 13)",heavy
276,"What does HTTP stand for? (variation 3)",light
277,"Create a detailed implementation plan for blockchain technology in supply chain (variation 7)",heavy
278,"Name three primary colors (variation 7)",light
279,"Who wrote Romeo and Juliet? (variation 13)",light
280,"Name a web browser (variation 12)",light
281,"How many continents are there? (variation 13)",light
282,"Create a complete digital transformation roadmap for an enterprise organization (variation 7)",heavy
283,"What does PDF stand for? (variation 3)",light
284,"Create a complete game design document including mechanics, storyline, and level designs (variation 7)",heavy
285,"Generate a full content marketing strategy with persona development and journey mapping (variation 3)",heavy
286,"What is the atomic number of carbon? (variation 4)",light
287,"Generate a detailed feasibility study for a large infrastructure project (variation 5)",heavy
288,"Build a speech recognition system with accent adaptation and noise reduction",heavy
289,"Develop a sophisticated trading algorithm with backtesting on historical market data (variation 11)",heavy
290,"Design a distributed system architecture for handling millions of concurrent users (variation 10)",heavy
291,"Build a natural language processing model for sentiment analysis on social media data (variation 13)",heavy
292,"What is the speed of light? (variation 9)",light
293,"Define the word 'algorithm' (variation 9)",light
294,"Develop a complex optimization model for portfolio management with constraints (variation 8)",heavy
295,"Write an extensive comparative market analysis across multiple geographic regions (variation 4)",heavy
296,"What is the chemical symbol for gold? (variation 13)",light
297,"What does AI stand for? (variation 5)",light
298,"How many sides does a hexagon have? (variation 10)",light
299,"Develop a detailed marketing strategy including SEO, content calendar, and multi-channel campaigns (variation 5)",heavy
300,"Create a comprehensive curriculum for a 6-month coding bootcamp with daily lesson plans (variation 5)",heavy
301,"Translate 'hello' to Spanish (variation 9)",light
302,"Name a programming paradigm (variation 9)",light
303,"Design a complete database schema for an e-commerce platform with normalization (variation 11)",heavy
304,"What does RAM stand for? (variation 2)",light
305,"Generate a complete novel outline with character development, plot arcs, and world-building details (variation 11)",heavy
306,"Develop a full project management plan with Gantt charts, resource allocation, and risk analysis",heavy
307,"Who wrote Romeo and Juliet? (variation 2)",light
308,"Build an AI chatbot with context understanding and multi-turn conversations (variation 2)",heavy
309,"How many continents are there? (variation 3)",light
310,"Develop a sophisticated trading algorithm with backtesting on historical market data",heavy
311,"How many continents are there? (variation 9)",light
312,"Create an extensive troubleshooting guide for a complex enterprise software system (variation 9)",heavy
313,"Write an extensive technical documentation for a software system with architecture diagrams (variation 3)",heavy
314,"Design a complete IoT system architecture with edge computing and cloud integration (variation 8)",heavy
315,"Create a comprehensive curriculum for a 6-month coding bootcamp with daily lesson plans (variation 10)",heavy
316,"Build an AI chatbot with context understanding and multi-turn conversations (variation 6)",heavy
317,"Design a distributed system architecture for handling millions of concurrent users",heavy
318,"Name three primary colors",light
319,"What color do you get mixing blue and yellow? (variation 13)",light
320,"How many continents are there?",light
321,"What is 25 squared? (variation 7)",light
322,"How many degrees in a right angle? (variation 6)",light
323,"What does PDF stand for? (variation 13)",light
324,"Develop a complete machine learning pipeline with data preprocessing, model training, and evaluation (variation 3)",heavy
325,"Create a full UI/UX design system with components, patterns, and design tokens (variation 12)",heavy
326,"Generate a comprehensive risk assessment for a major construction project (variation 4)",heavy
327,"What year did World War II end? (variation 4)",light
328,"Perform a deep financial analysis of a company's last 5 years with ratio analysis and forecasting (variation 2)",heavy
329,"Create an extensive troubleshooting guide for a complex enterprise software system (variation 3)",heavy
330,"Create a complete game design document including mechanics, storyline, and level designs (variation 8)",heavy
331,"Name three primary colors (variation 2)",light
332,"Build an AI chatbot with context understanding and multi-turn conversations (variation 5)",heavy
333,"Write an extensive comparative market analysis across multiple geographic regions (variation 9)",heavy
334,"Design an enterprise-level microservices architecture with deployment strategies (variation 3)",heavy
335,"Create a complex financial model for mergers and acquisitions valuation (variation 7)",heavy
336,"Generate a comprehensive legal contract with all clauses, terms, and conditions (variation 6)",heavy
337,"What color is a ruby? (variation 6)",light
338,"Develop a complex optimization model for portfolio management with constraints",heavy
339,"Convert 100 degrees Fahrenheit to Celsius (variation 6)",light
340,"Define 'database' in simple terms (variation 8)",light
341,"Create a detailed implementation plan for blockchain technology in supply chain (variation 3)",heavy
342,"Generate a full content marketing strategy with persona development and journey mapping (variation 9)",heavy
343,"Build a natural language processing model for sentiment analysis on social media data (variation 11)",heavy
344,"Define 'database' in simple terms (variation 9)",light
345,"Build a recommendation system using collaborative filtering on user behavior data (variation 3)",heavy
346,"Name three primary colors (variation 4)",light
347,"Generate a comprehensive employee training program with assessments and certifications (variation 6)",heavy
348,"Build a natural language processing model for sentiment analysis on social media data",heavy
349,"What is 15% of 200? (variation 13)",light
350,"Name a web browser (variation 9)",light
351,"Write an extensive grant proposal for scientific research with methodology and budget (variation 6)",heavy
352,"How many degrees in a right angle? (variation 2)",light
353,"Write a detailed technical specification for a large-scale software project (variation 11)",heavy
354,"Build a recommendation engine using deep learning on large-scale user data (variation 3)",heavy
355,"Develop a detailed marketing strategy including SEO, content calendar, and multi-channel campaigns (variation 4)",heavy
356,"Write a detailed scientific literature review on climate change impacts with 50+ citations (variation 4)",heavy
357,"Write a comprehensive 5000-word research paper on quantum computing applications in cryptography",heavy
358,"Generate a detailed comparative analysis of 10 different programming languages",heavy
359,"What year did World War II end? (variation 2)",light
360,"Generate a detailed comparative analysis of 10 different programming languages (variation 7)",heavy
361,"Write a detailed technical specification for a large-scale software project (variation 8)",heavy
362,"What is the square root of 144? (variation 9)",light
363,"Define 'machine learning' briefly (variation 11)",light
364,"Write a comprehensive 5000-word research paper on quantum computing applications in cryptography (variation 3)",heavy
365,"What does RAM stand for?",light
366,"Generate a detailed feasibility study for a large infrastructure project (variation 13)",heavy
367,"Generate a detailed comparative analysis of 10 different programming languages (variation 11)",heavy
368,"Create a comprehensive SEO strategy with keyword research and content optimization (variation 10)",heavy
369,"What is the square root of 144? (variation 7)",light
370,"What is the chemical symbol for gold? (variation 3)",light
371,"Generate a comprehensive legal contract with all clauses, terms, and conditions (variation 5)",heavy
372,"What is the speed of light? (variation 5)",light
373,"What does URL stand for? (variation 7)",light
374,"What is 3/4 as a decimal? (variation 6)",light
375,"Create a detailed implementation plan for blockchain technology in supply chain (variation 4)",heavy
376,"Design a complete IoT system architecture with edge computing and cloud integration",heavy
377,"What color do you get mixing blue and yellow? (variation 5)",light
378,"Define 'cloud computing' briefly (variation 4)",light
379,"What is the capital of France? (variation 10)",light
380,"Name a programming language",light
381,"Build a complex algorithm to optimize supply chain logistics across multiple warehouses (variation 3)",heavy
382,"Develop a complete data warehouse design with ETL processes and reporting (variation 7)",heavy
383,"How many months have 31 days? (variation 11)",light
384,"Build an AI chatbot with context understanding and multi-turn conversations",heavy
385,"Write an extensive comparative market analysis across multiple geographic regions (variation 11)",heavy
386,"Spell 'accommodate' (variation 9)",light
387,"Develop a sophisticated trading algorithm with backtesting on historical market data (variation 13)",heavy
388,"What does RAM stand for? (variation 11)",light
389,"Name a social media platform (variation 12)",light
390,"Spell 'accommodate'",light
391,"How many hours are in a day? (variation 7)",light
392,"Name the largest planet in our solar system (variation 5)",light
393,"Name a web browser (variation 3)",light
394,"What is the freezing point of water in Celsius? (variation 7)",light
395,"What color do you get mixing blue and yellow? (variation 11)",light
396,"Name a programming language (variation 13)",light
397,"Define 'variable' in programming (variation 7)",light
398,"Write an extensive technical documentation for a software system with architecture diagrams (variation 7)",heavy
399,"Name a programming paradigm (variation 3)",light
400,"What is 7 multiplied by 8?",light
401,"What is 25 squared? (variation 10)",light
402,"Build a computer vision system for object detection and tracking in videos",heavy
403,"Create a complete digital transformation roadmap for an enterprise organization (variation 12)",heavy
404,"What is 15% of 200? (variation 8)",light
405,"What year did World War II end?",light
406,"Generate a full content marketing strategy with persona development and journey mapping (variation 2)",heavy
407,"Create a comprehensive SEO strategy with keyword research and content optimization (variation 7)",heavy
408,"Develop a complete data warehouse design with ETL processes and reporting (variation 9)",heavy
409,"How many sides does a hexagon have? (variation 4)",light
410,"What does AI stand for? (variation 11)",light
411,"Define 'variable' in programming (variation 4)",light
412,"Write a detailed technical specification for a large-scale software project (variation 9)",heavy
413,"What is the freezing point of water in Celsius? (variation 6)",light
414,"Name a renewable energy source (variation 13)",light
415,"Design a comprehensive data governance framework with policies and procedures (variation 10)",heavy
416,"What is the capital of Japan? (variation 4)",light
417,"Name a major ocean (variation 6)",light
418,"Name the largest planet in our solar system (variation 7)",light
419,"What is 7 multiplied by 8? (variation 12)",light
420,"Develop a full project management plan with Gantt charts, resource allocation, and risk analysis (variation 9)",heavy
421,"Generate a comprehensive employee training program with assessments and certifications (variation 10)",heavy
422,"Name a web browser (variation 6)",light
423,"Create a comprehensive SEO strategy with keyword research and content optimization",heavy
424,"Write a detailed technical specification for a large-scale software project (variation 2)",heavy
425,"Name a major ocean (variation 2)",light
426,"Name a type of loop in programming (variation 3)",light
427,"Generate a full content marketing strategy with persona development and journey mapping",heavy
428,"Name a type of loop in programming (variation 12)",light
429,"Create a comprehensive curriculum for a 6-month coding bootcamp with daily lesson plans (variation 4)",heavy
430,"Perform a deep financial analysis of a company's last 5 years with ratio analysis and forecasting (variation 4)",heavy
431,"Design an enterprise-level microservices architecture with deployment strategies (variation 7)",heavy
432,"What is 15% of 200? (variation 11)",light
433,"Create a comprehensive cybersecurity audit report with vulnerability assessments (variation 7)",heavy
434,"Name a renewable energy source (variation 4)",light
435,"Convert 100 degrees Fahrenheit to Celsius (variation 2)",light
436,"Create a comprehensive curriculum for a 6-month coding bootcamp with daily lesson plans (variation 6)",heavy
437,"Generate a complete novel outline with character development, plot arcs, and world-building details",heavy
438,"Write an extensive technical documentation for a software system with architecture diagrams (variation 5)",heavy
439,"Name a renewable energy source",light
440,"Develop a full project management plan with Gantt charts, resource allocation, and risk analysis (variation 11)",heavy
441,"Define 'variable' in programming (variation 8)",light
442,"Write an extensive technical documentation for a software system with architecture diagrams (variation 4)",heavy
443,"Generate a detailed comparative analysis of 10 different programming languages (variation 12)",heavy
444,"Write an extensive comparative market analysis across multiple geographic regions (variation 13)",heavy
445,"How many continents are there? (variation 8)",light
446,"Design a comprehensive data governance framework with policies and procedures (variation 6)",heavy
447,"Develop a detailed marketing strategy including SEO, content calendar, and multi-channel campaigns (variation 13)",heavy
448,"What is the speed of light? (variation 4)",light
449,"Convert 100 degrees Fahrenheit to Celsius (variation 9)",light
450,"Develop a complex optimization model for portfolio management with constraints (variation 12)",heavy
451,"Generate a comprehensive legal contract with all clauses, terms, and conditions (variation 11)",heavy
452,"Develop a complex simulation model for epidemic spread across populations (variation 11)",heavy
453,"Develop a sophisticated fraud detection system using anomaly detection algorithms (variation 8)",heavy
454,"Build a speech recognition system with accent adaptation and noise reduction (variation 4)",heavy
455,"Name a programming language (variation 10)",light
456,"Name a social media platform (variation 10)",light
457,"What does RAM stand for? (variation 13)",light
458,"What year did World War II end? (variation 6)",light
459,"Create a comprehensive curriculum for a 6-month coding bootcamp with daily lesson plans (variation 13)",heavy
460,"Develop a full project management plan with Gantt charts, resource allocation, and risk analysis (variation 3)",heavy
461,"Design a neural network architecture for image classification with hyperparameter tuning (variation 13)",heavy
462,"Develop a detailed marketing strategy including SEO, content calendar, and multi-channel campaigns (variation 8)",heavy
463,"Create a comprehensive cybersecurity audit report with vulnerability assessments (variation 8)",heavy
464,"How many degrees in a right angle? (variation 10)",light
465,"Design a complete IoT system architecture with edge computing and cloud integration (variation 5)",heavy
466,"How many hours are in a day? (variation 12)",light
467,"Write an extensive technical documentation for a software system with architecture diagrams (variation 11)",heavy
468,"Analyze a large dataset of customer transactions and provide actionable insights with visualizations (variation 5)",heavy
469,"How many continents are there? (variation 2)",light
470,"Create a detailed implementation plan for blockchain technology in supply chain (variation 10)",heavy
471,"Build a speech recognition system with accent adaptation and noise reduction (variation 7)",heavy
472,"Write an extensive technical documentation for a software system with architecture diagrams (variation 6)",heavy
